title,air_date
"The One Where Monica Gets a Roommate",1994-09-22
"The One with the Sonogram at the End",1994-09-29
"The One with the Thumb",1994-10-06
"The One with George Stephanopoulos",1994-10-13
"The One with Ross’s New Girlfriend",1995-09-21
"The One Where Ross Finds Out",1995-11-09
"The One at the Beach",1997-05-15
"The One with Ross’s Wedding: Part 2",1998-05-07
"The One Where Everybody Finds Out",1999-02-11
"The One with the Proposal",2000-05-18
"The One with Monica and Chandler’s Wedding: Part 2",2001-05-17
"The One Where Rachel Has a Baby: Part 2",2002-05-16
"The One with the Lottery",2003-04-03
"The Last One: Part 1",2004-05-06
"The Last One: Part 2",2004-05-06
